A Compact List of Media Inventions,,,,,
no.,média,année,créateur,contenu,lieu
136,First home computer games to use wireframe 3D graphics with hidden line removal,1984,Acornsoft,Elite,UK
137,Macintosh,1984,,,
138,8-bit Consoles,1985,Nintendo,Nintendo Entertainment System (NES),Japan
139,Digital Painting (Matte Painting),1985,Barry Levinson,Young Sherlock Holmes,
140,Human Computer-Interaction,1987,Sanders & McCormick,Equipment operable by humans during World War II,
141,Ray Tracing,1987,,,
142,Motion Capture,1988,Brad de Graff,Mike the Talking Head,
143,8-bit handheld game device,1989,Nintendo,Game Boy,
144,Digital Illustration,1989,,,
145,Mini Disc,1989,,,
146,MP3,1989,,,
147,NURBS (Non-uniform rational basis spline),1989,Silicon Graphics,"Real-time, interactive rendering of NURBS curves and surfaces",
148,Simple Messaging System,1989,,,
149,Adobe Photoshop 1.0,1990,Thomas Knoll,,
150,Digital Photo Camera,1990,Logitech,Fotoman Dycam Model 1,
151,Pro Tools,1991,Digidesign,First version of Pro Tools,
152,World Wide Web (Web 1.0),1991,Tim Berners-Lee,,Switzerland
153,OpenGL,1992,Khronos Group (Silicon Graphics),,
154,After Effects,1993,Company of Science and Art / Aldus,,
155,Multimedia,1993,Tay Vaughan,Tay Vaughan defined the word multimedia,
156,Media Art,1994,Nam June Paik,Global Encoder,
157,Alias Maya,1995,Silicon Graphics,Alias|Wavefront,
158,Digital Animation,1995,John Lasseter (Pixar Studios),Toy Story,EUA
159,Hypercomic,1995,Charley Parker,Argon Zark!,
160,Java,1995,James Gosling (Sun Microsystems),,
161,Javascript,1995,Brendan Eich (Netscape),,
162,2D Web motion graphics,1996,Macromedia,Flash,
163,Digital Photography,1996,Sony,Cyber-Shot Digital Still Camera,Japan
164,DVD (Digital Video Disc),1996,Toshiba,,Japan
165,Machinima,1996,,"The Rangers, Diary of a Camper, usign Quake",
166,Online first-person shooters,1996,id Software,Quake,
167,Mobile phone games,1998,Nokia,Snake,Finland
168,USB 1.1 (Universal Serial Bus),1998,Ajay Bhatt (Intel),,
169,Blogging,1999,,Blogger,EUA
170,WiFi (IEEE 802.11),1999,IEEE,,
171,3G (International Mobile Telecommunications-2000),2001,NTT DoCoMo,,Japan
172,iPod,2001,Apple,,EUA
173,Digital Sculpture,2002,Pixologic,,
174,Free Voice Over Internet,2003,Skype Limited,Skype,
175,Independent musicians social network,2003,,MySpace,EUA
176,Rise of Web-mediated Social Networks,2003,,Various sites and people from around the world,
177,Hi Fi portable videogame console,2004,Sony,PlayStation Portable,Japan
178,MMOPRG,2004,Blizzard Entertainment (Activision Blizzard),World of Warcraft (WoW),EUA
179,Personal Social Network,2004,Mark Zuckerberg,Facebook,EUA
180,X3D,2004,International Organization for Standardization (ISO),,Switzerland
181,Musical intrument joystick,2005,RedOctane and Harmonix Music Systems (distributed by Activision),Guitar Hero,EUA
182,Open programmable micro-controller,2005,Arduino Software,Arduino microcontroller,Italy
183,Podcasting,2005,Adam Curry,The Daily Source Code,UK
184,Syndication,2005,Dave Winer,RSS (Really Simple Syndication),EUA
185,Web 2.0,2005,Tim O'Reilly,Tim O'Reilly coins the term and descibes it,EUA
186,Wireless videogame console,2005,Nintendo,Nintendo Wii,Japan
187,3D modeling software on personal computers,2006,Autodesk,Autodesk Maya,
188,AJAX (Asynchronous JavaScript and XML),2006,Jesse James Garrett (Adaptive Path),,
189,Blu-Ray,2006,Blu-ray Disc Association,,
190,Micro blogging,2006,Twitter,Twitter,EUA
191,3D Film (stereoscopic 3D film),2007,"Scar 3D, NHK and DitlevFilms",,EUA
192,Personal Video Recorder,2007,LG,,
193,Phantom HD Camera,2007,Vision Research,,EUA
194,Accelerometer in multipurpose devices,2008,Apple,iPhone,EUA
195,IMAX DRM (Digital Media Remastering),2008,IMAX & Universal Studios,,
196,Cloud Computing,2009,"Microsoft, Salesforce, Skytap, HP, IBM, Amazon and Google",,
197,Digital Tablets,2009,Wacom,Wacom Intuos 4,
198,Touchable Holography,2009,Takayuki Hoshi (University o Tokyo),,Japan
199,3D Television (using polarized glasses),2010,"Samsung, LG, Toshiba, Sony, and Panasonic",,
200,Touchable tablet,2010,Apple,iPad,
201,3D portable videogame console,2011,Nintendo,Nintendo 3DS,Japan
202,Controller-free gaming system,2011,Microsoft,Kinect,EUA
203,Autostereoscopic (3D Television),2012,Phillips,,
204,Web 3.0,2012,"Tim Berners-Lee, W3C",,Switzerland
